DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Community Board,Council District ,Census Tract,NTA,Precinct
01M292,56.30%,51.90%,50.70%,40.00%,58%,32%,43%,41%,3.0,1.0,201,Lower East Side,7
01M448,70.70%,36.30%,74.40%,67.30%,78%,55%,80%,52%,3.0,1.0,202,Lower East Side,7
01M450,71.60%,69.20%,72.70%,55.70%,76%,58%,82%,69%,3.0,2.0,34,East Village,9
01M509,56.40%,47.70%,59.50%,47.90%,36%,38%,48%,26%,3.0,1.0,"3,001",Chinatown,7
01M539,95.30%,87.00%,97.50%,82.80%,98%,84%,95%,89%,3.0,2.0,"2,201",Lower East Side,7
01M696,97.60%,95.70%,96.60%,96.80%,98%,94%,100%,93%,3.0,2.0,"1,002",Lower East Side,7
02M047,69.60%,47.10%,54.80%,30.40%,71%,42%,69%,62%,6.0,2.0,64,Gramercy,13
02M288,82.00%,62.70%,77.30%,59.60%,84%,53%,77%,49%,4.0,3.0,135,Clinton,18
02M294,67.50%,48.30%,77.40%,61.30%,65%,49%,71%,40%,3.0,1.0,18,Chinatown,7
02M296,79.30%,56.00%,78.40%,42.70%,66%,52%,73%,47%,4.0,3.0,135,Clinton,18
02M298,91.50%,79.60%,86.90%,78.70%,89%,69%,94%,68%,3.0,1.0,16,Chinatown,5
02M300,66.30%,47.50%,61.00%,46.50%,55%,55%,65%,43%,4.0,3.0,135,Clinton,18
02M303,55.30%,50.00%,65.20%,43.40%,62%,52%,72%,49%,4.0,3.0,135,Clinton,18
02M305,67.80%,54.80%,78.30%,64.40%,83%,60%,87%,69%,3.0,1.0,18,Chinatown,7
02M308,76.20%,47.80%,68.30%,58.70%,75%,52%,72%,61%,3.0,1.0,18,Chinatown,7
02M316,80.30%,64.00%,70.50%,63.90%,75%,48%,77%,62%,1.0,1.0,9,Battery Park City-Lower Manhattan,1
02M374,77.80%,40.40%,74.20%,47.90%,77%,50%,74%,54%,6.0,2.0,50,Gramercy,13
02M400,83.20%,75.60%,82.10%,81.20%,83%,64%,84%,70%,4.0,3.0,139,Clinton,18
02M407,83.30%,70.90%,86.40%,57.40%,94%,58%,90%,84%,6.0,2.0,48,Gramercy,13
02M408,93.10%,60.80%,93.30%,68.30%,96%,66%,94%,66%,4.0,3.0,127,Clinton,18
02M411,100.00%,98.10%,100.00%,90.60%,99%,96%,100%,97%,5.0,2.0,56,Hudson Yards-Chelsea-Flatiron-Union Square,13
02M412,96.40%,77.40%,93.10%,88.30%,95%,73%,96%,79%,4.0,3.0,83,Hudson Yards-Chelsea-Flatiron-Union Square,10
02M413,84.30%,65.60%,83.10%,63.20%,85%,77%,91%,78%,5.0,2.0,68,Gramercy,13
02M414,98.00%,71.70%,100.00%,85.70%,98%,91%,97%,81%,4.0,3.0,83,Hudson Yards-Chelsea-Flatiron-Union Square,10
02M416,100.00%,96.90%,97.80%,97.40%,100%,97%,100%,89%,8.0,5.0,132,Lenox Hill-Roosevelt Island,19
02M418,97.30%,88.00%,100.00%,84.20%,99%,86%,99%,88%,1.0,1.0,9,Battery Park City-Lower Manhattan,1
02M419,53.10%,55.90%,50.90%,43.20%,50%,41%,66%,35%,4.0,3.0,89,Hudson Yards-Chelsea-Flatiron-Union Square,10
02M420,82.40%,69.50%,88.20%,72.00%,86%,77%,90%,76%,6.0,2.0,48,Gramercy,13
02M425,79.10%,38.50%,59.20%,48.60%,68%,43%,64%,41%,1.0,1.0,13,Battery Park City-Lower Manhattan,1
02M439,97.80%,82.00%,98.00%,76.70%,97%,83%,99%,85%,5.0,3.0,58,Hudson Yards-Chelsea-Flatiron-Union Square,13
02M449,66.30%,35.10%,71.40%,55.10%,75%,59%,75%,47%,8.0,5.0,118,Lenox Hill-Roosevelt Island,19
02M459,58.50%,39.10%,63.60%,49.20%,56%,55%,71%,52%,8.0,5.0,118,Lenox Hill-Roosevelt Island,19
02M489,82.90%,77.80%,81.20%,73.60%,75%,77%,82%,70%,1.0,1.0,13,Battery Park City-Lower Manhattan,1
02M500,65.50%,52.70%,70.00%,50.00%,68%,40%,68%,28%,5.0,2.0,72,Murray Hill-Kips Bay,13
02M519,95.20%,75.00%,95.60%,82.10%,96%,81%,95%,76%,8.0,5.0,118,Lenox Hill-Roosevelt Island,19
02M520,65.80%,42.60%,61.70%,42.20%,51%,43%,51%,36%,1.0,1.0,29,Chinatown,5
02M529,61.30%,42.80%,68.50%,39.80%,66%,43%,61%,45%,5.0,4.0,119,Midtown-Midtown South,18
02M531,80.00%,36.70%,91.30%,62.50%,96%,61%,98%,71%,5.0,4.0,119,Midtown-Midtown South,14
02M542,77.60%,48.20%,87.30%,51.70%,82%,70%,85%,58%,4.0,3.0,135,Clinton,18
02M543,72.20%,34.70%,79.30%,47.80%,85%,58%,82%,47%,3.0,1.0,18,Chinatown,7
02M545,97.40%,87.00%,92.50%,94.80%,98%,88%,96%,83%,3.0,1.0,18,Chinatown,7
02M551,68.90%,44.20%,86.00%,54.40%,71%,71%,76%,51%,1.0,1.0,9,Battery Park City-Lower Manhattan,33
02M580,60.80%,57.40%,74.40%,40.80%,72%,55%,71%,59%,1.0,1.0,9,Battery Park City-Lower Manhattan,1
02M600,91.20%,69.70%,89.00%,64.20%,91%,66%,92%,68%,4.0,3.0,91,Hudson Yards-Chelsea-Flatiron-Union Square,10
02M615,59.70%,25.10%,72.70%,25.30%,80%,41%,85%,56%,2.0,3.0,37,SoHo-TriBeCa-Civic Center-Little Italy,1
02M630,79.10%,50.50%,82.20%,50.90%,84%,82%,81%,62%,6.0,4.0,108,Turtle Bay-East Midtown,17
02M655,75.90%,46.60%,68.70%,46.40%,64%,40%,76%,43%,8.0,5.0,"15,601",Yorkville,19
03M299,59.30%,44.00%,66.30%,37.20%,75%,40%,72%,44%,7.0,6.0,151,Lincoln Square,20
03M307,71.90%,35.30%,67.40%,41.70%,61%,40%,67%,41%,7.0,6.0,151,Lincoln Square,20
03M415,61.30%,42.60%,42.70%,41.90%,44%,31%,50%,23%,10.0,9.0,218,Central Harlem South,28
03M479,98.60%,81.70%,97.80%,88.70%,99%,84%,99%,84%,7.0,6.0,151,Lincoln Square,20
03M492,74.50%,52.30%,79.40%,53.10%,74%,41%,72%,48%,7.0,6.0,151,Lincoln Square,20
03M494,71.80%,36.80%,68.40%,40.80%,64%,51%,61%,39%,7.0,6.0,151,Lincoln Square,20
03M541,87.50%,92.30%,95.40%,82.10%,91%,89%,98%,89%,7.0,6.0,151,Lincoln Square,20
03M860,68.30%,58.50%,67.70%,52.40%,65%,59%,73%,42%,10.0,9.0,218,Central Harlem South,28
04M409,51.40%,45.50%,47.30%,32.70%,41%,22%,27%,30%,11.0,8.0,194,East Harlem North,25
04M435,92.00%,75.70%,90.90%,74.20%,90%,77%,94%,77%,11.0,8.0,178,East Harlem North,23
04M495,73.50%,40.90%,82.10%,47.00%,76%,51%,93%,55%,11.0,8.0,170,East Harlem South,23
04M555,80.60%,37.90%,85.40%,58.10%,93%,73%,98%,77%,11.0,8.0,"17,401",East Harlem South,23
04M610,98.40%,98.20%,100.00%,82.80%,100%,91%,100%,97%,11.0,8.0,172,East Harlem South,23
04M680,62.30%,47.30%,62.70%,28.60%,61%,36%,70%,33%,11.0,8.0,172,East Harlem South,23
05M304,72.80%,59.80%,65.20%,58.70%,69%,45%,66%,47%,10.0,9.0,"22,102",Central Harlem North-Polo Grounds,32
05M369,70.00%,39.70%,75.00%,57.10%,68%,60%,77%,49%,9.0,7.0,219,Manhattanville,26
05M499,91.70%,80.50%,81.60%,73.00%,80%,76%,68%,78%,10.0,9.0,236,Central Harlem North-Polo Grounds,32
05M670,78.90%,55.90%,89.50%,65.30%,94%,63%,84%,78%,10.0,9.0,228,Central Harlem North-Polo Grounds,32
06M462,67.60%,51.50%,58.50%,42.90%,64%,42%,55%,40%,12.0,10.0,277,Washington Heights North,34
06M463,60.70%,45.30%,64.20%,37.30%,62%,45%,61%,33%,12.0,10.0,277,Washington Heights North,34
