School Year,DBN,Borough,Geographical District Code,Register,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Community Board,Council District ,Census Tract,NTA
2013-14,15K001,K,15,"1,277",0,2,1,1,0,7C,1251-1500,0.86,3.26,5.55,2.17,1.29,BROOKLYN ,7,38,80,Sunset Park West
2013-14,17K002,K,17,479,,,,,,3C,251-500,,,,,,BROOKLYN ,9,40,802,Prospect Lefferts Gardens-Wingate
2013-14,75K141,K,17,397,,,,,,3C,251-500,,,,,,BROOKLYN ,9,40,802,Prospect Lefferts Gardens-Wingate
2013-14,84K704      ,K,17,,,,,,,,,,,,,,BROOKLYN ,9,40,802,Prospect Lefferts Gardens-Wingate
2013-14,,K,17,876,1,5,2,2,4,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,9,40,802,Prospect Lefferts Gardens-Wingate
2013-14,13K003,K,13,513,2,0,0,2,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,3,36,227,Clinton Hill
2013-14,16K005,K,16,312,1,1,0,2,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,3,41,377,Stuyvesant Heights
2013-14,17K006,K,17,714,0,1,2,0,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,14,40,794,Erasmus
2013-14,19K007,K,19,"1,073",0,1,0,0,0,6C,1001-1250,0.56,2.4,3.56,1.36,1.05,BROOKLYN ,5,37,"118,201",Cypress Hills-City Line
2013-14,13K008,K,13,848,0,0,0,0,0,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,2,33,1,Brooklyn Heights-Cobble Hill
2013-14,13K009,K,13,722,,,,,,4C,501-750,,,,,,BROOKLYN ,8,35,205,Prospect Heights
2013-14,84K780      ,K,13,,,,,,,,,,,,,,BROOKLYN ,8,35,205,Prospect Heights
2013-14,,K,13,722,0,1,1,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,8,35,205,Prospect Heights
2013-14,15K010,K,15,921,0,1,0,0,1,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,7,38,149,Park Slope-Gowanus
2013-14,13K011,K,13,732,1,0,1,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,2,35,199,Clinton Hill
2013-14,17K484,K,23,146,,,,,,2C,1-250,,,,,,BROOKLYN ,16,41,363,Ocean Hill
2013-14,15K107,K,15,578,0,1,0,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,6,39,167,Park Slope-Gowanus
2013-14,17K012,K,23,211,,,,,,2C,1-250,,,,,,BROOKLYN ,16,41,363,Ocean Hill
2013-14,,K,23,357,2,3,3,5,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,16,41,363,Ocean Hill
2013-14,19K013,K,19,494,,,,,,3C,251-500,,,,,,BROOKLYN ,5,42,"1,126",East New York (Pennsylvania Ave)
2013-14,84K358      ,K,19,,,,,,,,,,,,,,BROOKLYN ,5,42,"1,126",East New York (Pennsylvania Ave)
