DBN,Quality_Review_Year,Quality_Review_Score,Progress_Rpt_10-11,Student_Progress_10-11,Student_Perf_10-11,Envi_10-11,College_Ready_10-11,graduation 2010-11,college enroll 2010-11,Progress_Rpt_11-12,Student_Progress_11-12,Student_Perf_11-12,Envi_11-12,College_Ready_11-12,graduation 2011-12,college enroll 2011-12
01M292,2011,Developing,C,C,C,D,N/A,56.30%,51.90%,C,C,F,C,D,50.70%,40.00%
01M448,2011,Developing,C,B,C,D,N/A,70.70%,36.30%,B,B,B,B,A,74.40%,67.30%
01M450,2008,Well Developed,A,B,A,A,N/A,71.60%,69.20%,A,B,A,A,A,72.70%,55.70%
01M509,2010,Proficient,C,C,B,D,N/A,56.40%,47.70%,C,F,B,F,A,59.50%,47.90%
01M539,2011,Proficient,A,A,A,C,N/A,95.30%,87.00%,A,A,A,C,A,97.50%,82.80%
01M696,2010,Well Developed,B,C,B,A,N/A,97.60%,95.70%,B,C,A,A,A,96.60%,96.80%
02M047,2010,Proficient,C,D,A,A,N/A,69.60%,47.10%,B,C,F,A,C,54.80%,30.40%
02M288,2008,Proficient,A,B,A,C,N/A,82.00%,62.70%,A,B,A,B,B,77.30%,59.60%
02M294,2008,Well Developed,B,B,A,A,N/A,67.50%,48.30%,B,B,A,A,D,77.40%,61.30%
02M296,2010,Proficient,A,A,A,A,N/A,79.30%,56.00%,A,B,A,B,B,78.40%,42.70%
02M298,2008,Well Developed,A,A,A,B,N/A,91.50%,79.60%,A,B,A,B,B,86.90%,78.70%
02M300,2011,Proficient,B,C,B,B,N/A,66.30%,47.50%,C,D,B,C,C,61.00%,46.50%
02M303,2012,Proficient,B,C,C,A,N/A,55.30%,50.00%,A,B,A,B,B,65.20%,43.40%
02M305,2010,Proficient,C,D,B,F,N/A,67.80%,54.80%,A,B,B,C,B,78.30%,64.40%
02M308,2009,Well Developed,A,A,A,B,N/A,76.20%,47.80%,A,B,B,A,C,68.30%,58.70%
02M316,2012,Proficient,B,C,A,B,N/A,80.30%,64.00%,B,B,C,C,B,70.50%,63.90%
02M374,2010,Proficient,C,C,B,F,N/A,77.80%,40.40%,C,C,B,D,D,74.20%,47.90%
02M376,2010,Well Developed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,A,B,D,94.90%,N/A
02M392,2012,Proficient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M393,2012,Proficient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M399,2012,Proficient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M400,2010,Well Developed,B,C,B,B,N/A,83.20%,75.60%,B,C,A,B,A,82.10%,81.20%
02M407,2011,Well Developed,A,A,C,A,N/A,83.30%,70.90%,A,A,C,A,D,86.40%,57.40%
02M408,2010,Proficient,B,B,B,C,N/A,93.10%,60.80%,B,B,A,C,B,93.30%,68.30%
