dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,student_satisfaction_2013,ontrack_year1_2012,graduation_rate_2012,college_career_rate_2012,student_satisfaction_2012,ontrack_year1_historic_avg_similar_schls,graduation_rate_historic_avg_similar_schls,college_career_rate_historic_avg_similar_schls,student_satisfaction_historic_avg_similar_schls,quality_review_rating,quality_review_year
01M292,62%,58%,32%,7.1,81%,51%,40%,6.3,72%,65%,42%,7.3,Proficient,2012-13
01M448,83%,78%,55%,7.5,92%,74%,67%,6.6,73%,64%,41%,7.1,Proficient,2012-13
01M450,92%,76%,58%,8.4,92%,73%,56%,7.3,85%,80%,65%,7.5,Well Developed,2007-08
01M509,59%,36%,38%,6.5,69%,60%,48%,6.5,71%,62%,39%,7.2,Proficient,2009-10
01M539,99%,98%,84%,7.6,97%,98%,83%,7.2,96%,96%,87%,7.8,Proficient,2010-11
01M696,96%,98%,94%,8.2,96%,97%,97%,8,97%,97%,89%,7.8,Well Developed,2009-10
02M047,98%,71%,42%,7.5,68%,55%,30%,7.3,72%,65%,41%,7.2,Proficient,2009-10
02M135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M260,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Proficient,2011-12
02M280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02M288,89%,84%,53%,6.8,89%,77%,60%,6.6,81%,75%,54%,7.4,Proficient,2007-08
02M294,90%,65%,49%,7.9,90%,77%,61%,7.5,81%,75%,54%,7.4,Well Developed,2007-08
02M296,82%,66%,52%,7.3,87%,78%,43%,7.1,76%,71%,48%,7.1,Proficient,2009-10
02M298,94%,89%,69%,7.5,90%,87%,79%,7,85%,80%,63%,7.5,Well Developed,2007-08
02M300,73%,55%,55%,6.8,61%,61%,47%,6.5,77%,72%,49%,7.3,Proficient,2010-11
02M303,78%,62%,52%,7.8,77%,65%,43%,6.9,74%,66%,43%,7.1,Proficient,2011-12
02M305,83%,83%,60%,6.8,79%,78%,64%,6.3,80%,75%,54%,7.3,Proficient,2012-13
02M308,67%,75%,52%,7.2,75%,68%,59%,6.7,78%,74%,53%,7.4,Well Developed,2008-09
02M316,77%,75%,48%,6.9,80%,71%,64%,6.9,80%,74%,52%,7.4,Proficient,2011-12
02M374,82%,77%,50%,6.9,82%,74%,48%,6.7,82%,76%,54%,7.3,Developing,2012-13
