UEMPRATE,cartodb_id,borocode,withssi,withsocial,withpubass,struggling,profession,popunemplo,poptot,popover18,popinlabou,poororstru,poor,pacificune,pacificinl,pacific,otherunemp,otherinlab,otherethni,onlyprofes,onlymaster,onlylessth,onlyhighsc,onlydoctor,onlycolleg,onlybachel,okay,mixedunemp,mixedinlab,mixed,master,maleunempl,maleover18,male_pro,male_mastr,male_lesHS,male_HS,male_doctr,male_collg,male_BA,maleinlabo,maledrop,male16to19,male,lessthan10,lessthanhi,households,hispanicun,hispanicin,hispanic,highschool,field_1,femaleunem,femaleover,fem_profes,fem_master,fem_lessHS,fem_HS,fem_doctor,fem_colleg,fem_BA,femaleinla,femaledrop,femal16_19,female,europeanun,europeanin,european,doctorate,comm90plus,comm_less5,comm_60_89,comm_5_14,comm_45_59,comm_30_44,comm_15_29,college,bachelor,asianunemp,asianinlab,asian,americanun,americanin,american,africanune,africaninl,african,ntaname,boroname,popdty,ntacode,medianinco,medianagem,medianagef,medianage,HHsize,gini
0.0957850,1,3,652,5067,277,6421,889,2225,48351,36150,23229,10226,3805,0,0,231,115,780,1253,1254,4635,2734,29374,365,20231,11362,38123,12,241,745,3381,1105,16650,650,2015,1361,13405,161,9149,5083,12131,39,1450,23370,641,2734,16432,202,2097,4154,9143,24,1120,19500,604,2620,1373,15969,204,11082,6279,11098,47,1048,24981,1407,17665,37825,365,1578,247,4137,2941,1833,4194,5129,8869,6727,213,1198,2298,0,10,16,478,3293,5983,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,497498.701,BK45,1520979,663.3,777.1,722.6,2.96421052631579,0.386315789473684
0.0900112,2,3,2089,7132,1016,10981,1075,2652,61584,50300,29463,20847,9866,20,64,112,96,365,958,1592,5496,6094,39445,517,26074,16743,40385,75,226,576,3904,1428,22838,780,2514,2677,17844,269,12396,8129,15059,5,1372,28670,3036,6094,25070,305,1941,4812,13371,2,1224,27462,812,2982,3417,21601,248,13678,8614,14404,14,1074,32914,1623,21997,45514,517,1663,122,7185,2436,3782,4667,5632,9331,11247,410,4857,9815,0,9,25,428,1945,4584,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,589296.926,BK17,1054259,791.4,868.5,827.6,2.46578947368421,0.448089473684211
0.1303928,3,3,3231,8847,2891,21235,712,6483,100130,77348,49719,49800,28565,0,208,236,467,2437,6363,1162,5501,14357,52523,450,32407,16187,49421,97,906,1929,4339,3463,33383,585,2112,6093,21885,255,12946,6897,22603,209,3040,44442,6695,14357,40818,743,5196,11610,20116,29,3020,43965,577,3389,8264,30638,195,19461,9290,27116,151,2940,55688,470,7986,12433,450,2369,361,6936,2276,8410,13272,6785,16220,10686,91,1263,2128,30,61,157,5328,36761,76884,Crown Heights North,Brooklyn,1506628.84,BK61,980637,863.1,983.9,923.8,2.42925925925926,0.473666666666667
0.0866325,4,3,1103,3508,553,7188,475,1709,33155,28943,19727,14676,7488,0,0,0,253,1888,4241,615,3089,5964,19097,140,14036,9312,18471,36,250,585,2474,916,13189,251,1369,2591,9102,93,6746,4270,9736,43,680,15587,1481,5964,14888,605,5154,10927,5061,46,793,15754,364,1720,3373,9995,47,7290,5042,9991,56,652,17568,1014,14008,20732,140,187,270,1351,939,2113,7764,4017,4724,6223,138,2143,3951,31,104,191,237,1318,3455,East Williamsburg,Brooklyn,468975.876,BK90,519058,333.6,350.1,341.3,2.189,0.44139
0.0991838,5,4,326,2229,132,5307,187,1276,24199,19099,12865,7366,2059,0,0,0,364,3151,5304,198,976,3630,13179,11,7821,4001,16143,18,250,486,778,680,9337,140,478,1711,6546,11,3972,1938,7205,32,512,12281,295,3630,7749,675,5126,8781,5358,135,596,9762,58,498,1919,6633,0,3849,2063,5660,91,716,11918,557,5835,11155,11,1323,321,2304,1436,1084,2308,2101,3820,3025,314,3248,6486,0,83,116,23,255,652,College Point,Queens,125384.135,QN23,354073,219,246.3,232.4,2.95666666666667,0.413133333333333
0.0560341,6,5,277,2213,58,3183,283,618,24083,17857,11029,4148,965,0,0,0,0,165,347,347,1819,1606,14276,64,9409,4788,18993,9,249,487,1472,338,9386,134,608,1102,7102,57,4575,2133,6319,26,615,12491,293,1606,7622,0,1237,2969,4867,181,280,8471,213,1211,504,7174,7,4834,2655,4710,49,615,11592,568,10030,21305,64,1416,141,2357,737,1302,1753,2438,4621,2969,29,399,1044,12,12,27,0,174,873,Charleston-Richmond Valley-Tottenville,Staten Island,23106.907,SI11,342708,148.3,148.7,148.5,3.0025,0.415
0.0680922,7,4,267,3324,62,2871,1039,933,25619,20621,13702,4373,1502,0,8,8,60,473,621,1405,3929,1560,17392,366,13958,10002,21126,0,155,325,2524,378,9743,697,1696,833,8105,181,6903,4737,6964,0,586,12681,350,1560,9677,138,1643,2812,3434,152,555,10878,708,2233,727,9287,185,7055,5265,6738,0,677,12938,473,7718,14449,366,944,127,2177,1876,1130,2972,2775,3956,6073,338,4871,9427,0,19,19,62,451,770,Douglas Manor-Douglaston-Little Neck,Queens,62122.542,QN45,554014,257.5,286.7,273.9,2.66166666666667,0.4302
0.0658088,8,5,238,3182,103,2297,404,941,28727,22490,14299,4052,1755,0,0,0,34,71,103,499,2196,1787,17929,95,11227,6037,24627,0,174,274,1697,533,11142,295,888,913,8696,49,5554,2859,7729,21,938,14589,459,1787,9786,115,1375,2393,6702,177,408,11348,204,1308,874,9233,46,5673,3178,6570,0,587,14138,871,13649,27311,95,1566,87,2512,1378,1473,2433,3472,5190,3841,36,389,942,0,0,0,0,16,97,Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,53723.419,SI01,521048,228.8,263,248.1,2.90333333333333,0.4045
0.0686399,9,5,576,5182,172,3388,357,1461,43427,33761,21285,5635,2247,0,0,0,0,117,219,436,3555,2143,27933,79,16967,8645,37790,0,83,315,3119,795,15877,286,1243,953,12867,53,8151,3854,11240,0,1324,21259,363,2143,15289,104,1563,3169,10966,194,666,17884,150,2312,1190,15066,26,8816,4791,10045,0,990,22168,1427,20259,41048,79,2903,241,3912,2183,1601,3544,4407,8322,5090,24,716,1675,0,44,106,10,38,64,Great Kills,Staten Island,115318.53,SI54,718593,311.1,345.6,330.3,2.8375,0.3697875
0.0825416,10,2,2341,5594,886,11957,219,1894,53800,40449,22946,24626,12669,0,0,0,400,8627,21794,279,1768,9477,24580,60,14451,5710,28851,47,643,1444,1489,1093,16980,115,513,3797,9954,36,5222,1866,10411,153,1977,23977,2510,9477,18657,947,13306,33128,10129,58,801,23469,164,1255,5680,14626,24,9229,3844,12535,62,1778,29823,379,3659,8785,60,2076,199,6037,1657,2120,4682,3544,8741,3942,0,364,898,10,84,131,1058,9569,20748,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,455122.73,BX09,490852,374.9,445.6,413.4,3.00833333333333,0.458366666666667
